series,episode,baker,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,technical,show_stopper,result
4,7,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,8,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",4,Spiced Butternut Squash and Pecan 'Cheese' Cake,IN
4,8,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",'Chelsea Flour Show' Bun Bouquet,3,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",IN
4,8,Kimberley,Wilson,30,Psychologist,London,Wild Garlic Pesto and Parma Ham Spelt Loaf,2,Butternut Squash and Spice Cake Toadstool House,IN
4,8,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,OUT
4,8,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Mango and Nigella Seed Spelt Cob,1,Carrot Cake and Pistachio Garden Plot,STAR BAKER
4,8,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,8,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,8,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,8,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,8,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,8,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,8,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,8,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,9,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",2,Great British Soap Opera Cake,IN
4,9,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",4,"Chocolate, Almond Praline and Saffron Opera Cake",IN
4,9,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,3,Banoffee Opera Cake,OUT
4,9,Kimberley,Wilson,30,Psychologist,London,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,1,Passion Fruit and Lime Opera Cake,STAR BAKER
4,9,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,9,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
4,9,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,9,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,9,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,9,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,9,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,9,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,9,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
4,10,Kimberley,Wilson,30,Psychologist,London,Chicken and Pig Pie,1,Languages of Love Wedding Cake,Runner-up
4,10,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Picnic Basket Pie,2,"Raspberry, Lemon and Passion Fruit Wedding Cake",Runner-up
4,10,Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Rainbow Picnic Pie,3,Midsummer Night's Dream Wedding Cake,WINNER
4,10,Ali,Imdad,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
4,10,Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA,NA,NA
4,10,Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
4,10,Deborah,Manger,51,Dentist,Peterborough,NA,NA,NA,NA
4,10,Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
4,10,Howard,Middleton,51,Council Worker,Sheffield,NA,NA,NA,NA
4,10,Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,10,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
4,10,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,10,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
5,1,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll",3,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,IN
5,1,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Mum's Sunday Tea Lemon Curd Swiss Roll,5,Chocolate Ganache Surprises,IN
5,1,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Raspberry and Lemon Swiss Roll,9,Coffee and Walnut Battenberg Squares,IN
5,1,Iain,Watters,31,Construction Engineer,London/Belfast,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",IN
5,1,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",Kawaii Frasier Swiss Roll,12,Lemon Drizzle Cakes with Blueberry and Lemon Curd,IN
5,1,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Red Velvet and White Chocolate Swiss Roll,6,Mini Tiered Victoria Sponges,IN
5,1,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Spanish Swiss Roll,7,Raspberry and Lemon Genoise Slices with Lemon Drizzles,IN
5,1,Martha,Collison,17,Student,"Ascot, Berkshire",Tiramisu Swiss Roll,2,Mini Lemon and Thyme Drizzle Cakes,IN
5,1,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",Black Forest Swiss Roll,11,Almond and Raspberry Mini Cakes,IN
5,1,Richard,Burr,38,Builder,"Mill Hill, London",Pistachio and Strawberry Swiss Roll,10,Miniature Coffee & Walnut Cakes,IN
5,1,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",Chocolatey Orangey Swirly Roll,8,Mini Chocolate and Cherry Cakes,OUT
5,1,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Hazelnut Swiss Roll,1,Jaffa Orange Cakes,STAR BAKER
5,2,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Fenugreek and Carom Crackers,8,Day On The Beach,IN
5,2,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Parmesan Triangles,7,"Express, First Class",IN
5,2,Iain,Watters,31,Construction Engineer,London/Belfast,Za'atar and Fig Biscuits,11,Wild West Scene,IN
5,2,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits",6,Monster Attack,IN
5,2,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Parmesan and Apple Biscuits,4,Tea Time,IN
5,2,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,George Versus The Dragon,IN
5,2,Martha,Collison,17,Student,"Ascot, Berkshire",Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,Ski Village Scene,IN
5,2,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Fennel and Rye Thins,2,Hansel and Gretel Scene,IN
5,2,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",Farthing Biscuits,10,Zulu Boats at Dawn,IN
5,2,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Pumpkin and Sunflower Savoury Biscuits,9,Space Adventure Moon Scene,OUT
5,2,Richard,Burr,38,Builder,"Mill Hill, London",Rosemary Seeded Crackers,1,Pirates!,STAR BAKER
5,2,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,3,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,8,Rolled and Filled Twin Loaf,IN
5,3,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,7,Sharing Savoury Pinwheel,IN
5,3,Iain,Watters,31,Construction Engineer,London/Belfast,Cranberry and Walnut Rye Bread Rolls,9,Moroccan Plaited with a Bessara Dip,IN
5,3,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Orange and Cardamom Rye Bread Knots,1,"Prosciutto, Olive and Coriander Bread",IN
5,3,Martha,Collison,17,Student,"Ascot, Berkshire",Date and Walnut Rye Rolls,3,Stuffed Sunflower Loaf,IN
5,3,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Cider and Walnut Crusty Rolls,5,'Full English' Stromboli,IN
5,3,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",Rye Bread Rolls,4,Chicken and Roasted Vegetable Picnic Loaf,IN
5,3,Richard,Burr,38,Builder,"Mill Hill, London",Rye and Cranberry Rolls,6,Pesto Pinwheel,IN
5,3,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",Rye and Spelt Bread Rolls,10,Strawberry Raspberry Cheesecake Brioche,OUT
5,3,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Opposites Attract Rolls,2,Roscón de Reyes,STAR BAKER
5,3,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,3,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,4,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings",3,"Mango, Raspberry and Coconut Baked Alaska",IN
5,4,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,9,Raspberry Ripple Alaska Swan,IN
5,4,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Chocolate and Salted Caramel Molten Puddings,7,"Pistachio, Raspberry and Chocolate Baked Alaska",IN
5,4,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Pears in Puddings,2,Bakewell Alaska,IN
5,4,Martha,Collison,17,Student,"Ascot, Berkshire",Peanut Butter Chocolate Fondants,1,Key Lime Baked Alaska,IN
5,4,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Pistachio Puddings with Chocolate Sauce,4,Summer Pudding Alaska,IN
5,4,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",Mini Sticky Toffee Puddings,8,Baked Alaska with Strawberry Surprise,IN
5,4,Iain,Watters,31,Construction Engineer,London/Belfast,"Chocolate, Lime and Raspberry Fondants",6,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",OUT
5,4,Richard,Burr,38,Builder,"Mill Hill, London",Black Forest Chocolate Fondants,5,Tiramisu Baked Alaska,STAR BAKER
5,4,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,4,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,4,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,5,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,2,Fusion Tiered Pies,IN
5,5,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Tropical Manchester Tart,6,Four Fruity Seasons Tower,IN
5,5,Martha,Collison,17,Student,"Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart",1,Three Little Pigs Pie,IN
5,5,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Chocolate Crusted Passion Fruit Tart,4,Trio of Apple Pies,IN
5,5,Richard,Burr,38,Builder,"Mill Hill, London",Fig and Orange Tart,7,Three Course Autumn Pie Feast,IN
5,5,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",Tarte au Citron,5,Pieful Tower,OUT
5,5,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Rhubarb and Custard Tart,3,"Rhubarb, Prune and Apple Pies",STAR BAKER
5,5,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,WD
5,5,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,5,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,5,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,5,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,6,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,IN
5,6,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake",6,Trio of Dobos Tortes,IN
5,6,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,3,The Cage on the Rocky Hill,IN
5,6,Martha,Collison,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,4,Chess-Themed Chocolate and Salted Caramel Dobos Torte,IN
5,6,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,Chocolate and Caramel Dobos Torte,IN
5,6,Richard,Burr,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,5,Sugar Forest Dobos Torte,IN
5,6,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,2,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,STAR BAKER
5,6,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,6,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,6,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,6,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,6,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA
5,7,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,6,Chocolate and Mango & Lemon Meringue Éclairs,IN
5,7,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,IN
5,7,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,5,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",IN
5,7,Martha,Collison,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,3,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,IN
5,7,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,2,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,IN
5,7,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,4,Neapolitan & Lemon Meringue Éclairs,OUT
5,7,Richard,Burr,38,Builder,"Mill Hill, London",Minted Lamb Pasties,1,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",STAR BAKER
5,7,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,7,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,7,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,7,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,7,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA
5,8,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,1,Chocolate Mousse Filled DoughnutsBraided Doughnuts,IN
5,8,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,IN
5,8,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,2,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",IN
5,8,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,3,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",IN
5,8,Martha,Collison,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,5,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,OUT
5,8,Richard,Burr,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,4,Rhubarb and Custard and Toffee Apple Doughnuts,STAR BAKER
5,8,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,8,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,8,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,8,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,8,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",NA,NA,NA,NA
5,8,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA
5,9,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,IN
5,9,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire",Indian Rose BaklavaHalwa Baklava Rolls,1,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",IN
5,9,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate BaklavaBreakfast Baklava,3,Raspberry NonnettesLime and Passion Fruit Entremets,IN
5,9,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,4,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",OUT
5,9,Richard,Burr,38,Builder,"Mill Hill, London",Rose and Pistachio BaklavaWalnut and Almond Baklava,2,Hazelnut Mocha EntremetsPink Grapefruit Entremets,STAR BAKER
5,9,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,9,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,9,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,9,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,9,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",NA,NA,NA,NA
5,9,Martha,Collison,17,Student,"Ascot, Berkshire",NA,NA,NA,NA
5,9,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA
5,10,Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA,NA,IN
5,10,Luis,Troyano,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Village in Chocolate,Runner-up
5,10,Richard,Burr,38,Builder,"Mill Hill, London",Pear Pain au ChocolatPain Au Lait,3,Mill on the Hill,Runner-up
5,10,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon KitesRaspberry and Almond Croissants,1,Red Windmill,WINNER
5,10,Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",NA,NA,NA,NA
5,10,Claire,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,10,Enwezor,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",NA,NA,NA,NA
5,10,Iain,Watters,31,Construction Engineer,London/Belfast,NA,NA,NA,NA
5,10,Jordan,Cox,32,IT Manager,"Sneinton, Nottingham",NA,NA,NA,NA
5,10,Kate,Henry,41,Furniture Restorer,"Brighton, East Sussex",NA,NA,NA,NA
5,10,Martha,Collison,17,Student,"Ascot, Berkshire",NA,NA,NA,NA
5,10,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA
6,1,Alvin,Magallanes,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,2,Black Forest Gâteau,IN
6,1,Dorret,Conway,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,5,Enchanted Forest Gâteau,IN
6,1,Flora,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,6,Black Forest Gâteau,IN
